ksi_match_id,season,date,time,home_team_ksi_id,away_team_ksi_id,home_goals,away_goals,ground_id,status
686739,2023,2023-07-30,17:00,5364,5388,6,0,9,FT
757398,2023,2023-07-31,19:15,5698,5363,0,4,13,FT
762006,2023,2023-07-31,19:15,5964,5733,2,3,14,FT
691742,2023,2023-08-05,14:00,5388,5730,0,2,11,FT
631104,2023,2023-08-06,14:00,5387,5698,3,4,6,FT
753728,2023,2023-08-07,16:00,5363,5731,4,2,3,FT
623724,2023,2023-08-08,19:15,5733,5364,1,3,8,FT
598261,2023,2023-08-08,19:15,5366,5386,1,1,4,FT
727710,2023,2023-08-09,19:15,5732,5964,3,1,10,FT
757141,2023,2023-08-13,16:00,5731,5387,1,1,2,FT
762007,2023,2023-08-13,17:00,5964,5363,1,1,14,FT
623723,2023,2023-08-13,17:00,5733,5388,2,1,8,FT
757399,2023,2023-08-13,18:15,5698,5366,3,2,13,FT
686732,2023,2023-08-13,19:15,5364,5732,6,1,9,FT
754223,2023,2023-08-14,19:15,5386,5730,0,4,1,FT
691744,2023,2023-08-20,16:15,5388,5386,0,1,11,FT
598262,2023,2023-08-20,17:00,5366,5731,2,1,4,FT
631221,2023,2023-08-20,18:00,5387,5964,2,1,6,FT
727712,2023,2023-08-20,19:15,5732,5733,2,2,10,FT
753718,2023,2023-08-20,19:15,5363,5364,0,4,3,FT
739181,2023,2023-08-21,19:15,5730,5698,3,1,5,FT
757142,2023,2023-08-26,16:00,5731,5730,2,1,2,FT
623720,2023,2023-08-26,17:00,5733,5363,3,2,8,FT
757400,2023,2023-08-27,17:00,5698,5386,2,0,13,FT
762008,2023,2023-08-27,17:00,5964,5366,0,0,14,FT
686721,2023,2023-08-27,19:15,5364,5387,5,3,9,FT
727713,2023,2023-08-28,18:00,5732,5388,2,2,10,FT
623725,2023,2023-08-30,17:30,5733,5731,0,3,8,FT
598263,2023,2023-09-03,14:00,5366,5364,2,3,4,FT
631346,2023,2023-09-03,14:00,5387,5733,0,2,6,FT
739170,2023,2023-09-03,14:00,5730,5964,3,0,5,FT
691745,2023,2023-09-03,14:00,5388,5698,2,2,11,FT
753712,2023,2023-09-03,14:00,5363,5732,4,1,3,FT
754286,2023,2023-09-03,14:00,5386,5731,1,1,1,FT
684548,2024,2024-04-06,19:15,5364,5730,2,0,9,FT
757113,2024,2024-04-07,13:00,5731,5732,1,1,2,FT
768367,2024,2024-04-07,13:00,5366,5734,2,0,15,FT
754259,2024,2024-04-07,19:15,5386,5698,3,4,1,FT
768092,2024,2024-04-07,19:15,5363,5735,2,0,16,FT
631587,2024,2024-04-08,19:15,5387,5733,2,0,6,FT
739740,2024,2024-04-12,19:15,5730,5698,1,3,5,FT
631537,2024,2024-04-13,14:00,5387,5734,4,0,6,FT
757114,2024,2024-04-13,15:00,5731,5733,2,3,2,FT
727441,2024,2024-04-14,17:00,5732,5735,0,4,10,FT
754264,2024,2024-04-14,19:15,5386,5363,0,0,1,FT
768366,2024,2024-04-15,19:15,5366,5364,0,1,15,FT
739730,2024,2024-04-19,19:15,5730,5363,1,0,5,FT
727447,2024,2024-04-20,14:00,5732,5733,0,2,10,FT
